SALE_ID,SALE_DATE,GEO_TERRITORY,CHANNEL,PRODUCT_SKU,PRODUCT_CATEGORY,ACTUAL_SALES,UNITS_SOLD,AD_SPEND,DISCOUNT_RATE
SALE-2025-000035,2025-10-01,North,Partner,AURA-SPK-001,Electronics,649.26,7,85.02,0.2
SALE-2025-000036,2025-10-01,North,Partner,AURA-ACC-001,Accessories,229.75,7,27.0,0.05
SALE-2025-000037,2025-10-01,North,Partner,AURA-HP-003,Electronics,1587.96,8,214.03,0.2
SALE-2025-000038,2025-10-01,North,Partner,AURA-HP-004,Electronics,254.77,7,36.68,0.2
SALE-2025-000039,2025-10-01,North,Partner,AURA-SPK-002,Electronics,367.39,8,42.44,0.05
SALE-2025-000040,2025-10-01,North,Partner,AURA-SPK-003,Electronics,882.14,5,87.17,0.05
SALE-2025-000041,2025-10-01,North,Partner,AURA-SPK-004,Electronics,1525.69,12,167.36,0.15
SALE-2025-000042,2025-10-01,North,Partner,AURA-CBL-004,Cables,41.7,5,4.31,0.0
SALE-2025-000043,2025-10-01,North,Partner,AURA-CBL-005,Cables,76.52,7,8.5,0.0
SALE-2025-000044,2025-10-01,North,Partner,AURA-CBL-006,Cables,83.99,6,11.5,0.0
SALE-2025-000045,2025-10-01,North,Partner,AURA-ACC-002,Accessories,160.17,8,15.9,0.2
SALE-2025-000046,2025-10-01,North,Partner,AURA-ACC-003,Accessories,193.97,7,26.91,0.0
SALE-2025-000047,2025-10-01,North,Partner,AURA-ACC-004,Accessories,249.59,11,30.73,0.0
SALE-2025-000048,2025-10-01,North,Partner,AURA-ACC-006,Accessories,72.92,10,7.84,0.05
SALE-2025-000049,2025-10-01,North,Partner,AURA-ACC-007,Accessories,16.46,1,2.32,0.0
SALE-2025-000050,2025-10-01,North,Partner,AURA-ACC-008,Accessories,128.56,9,18.49,0.0
SALE-2025-000051,2025-10-01,North,Partner,AURA-HP-005,Electronics,630.65,9,62.62,0.0
SALE-2025-000052,2025-10-01,North,Partner,AURA-HP-006,Electronics,2142.47,10,291.42,0.15
SALE-2025-000053,2025-10-01,North,Partner,AURA-SPK-005,Electronics,592.16,9,75.83,0.1
SALE-2025-000054,2025-10-01,North,Partner,AURA-ACC-009,Accessories,185.84,4,26.22,0.0
SALE-2025-000055,2025-10-01,North,Partner,AURA-CBL-007,Cables,301.75,7,33.05,0.0
SALE-2025-000056,2025-10-01,North,Partner,AURA-HP-007,Electronics,616.05,6,66.95,0.05
SALE-2025-000057,2025-10-01,North,Partner,AURA-SPK-006,Electronics,1427.62,12,193.88,0.0
SALE-2025-000058,2025-10-01,South,Online,AURA-HP-002,Electronics,758.95,9,96.07,0.0
SALE-2025-000059,2025-10-01,South,Online,AURA-SPK-001,Electronics,533.66,6,54.1,0.15
SALE-2025-000060,2025-10-01,South,Online,AURA-ACC-001,Accessories,149.33,4,18.51,0.0
SALE-2025-000061,2025-10-01,South,Online,AURA-HP-003,Electronics,544.99,3,77.75,0.0
SALE-2025-000062,2025-10-01,South,Online,AURA-SPK-002,Electronics,617.32,13,62.31,0.2
SALE-2025-000063,2025-10-01,South,Online,AURA-SPK-003,Electronics,2321.75,12,326.06,0.0
SALE-2025-000064,2025-10-01,South,Online,AURA-CBL-005,Cables,87.9,7,9.84,0.05
SALE-2025-000065,2025-10-01,South,Online,AURA-ACC-004,Accessories,317.12,12,43.51,0.0
SALE-2025-000066,2025-10-01,South,Online,AURA-ACC-005,Accessories,107.17,11,12.09,0.2
SALE-2025-000067,2025-10-01,South,Online,AURA-ACC-007,Accessories,115.73,8,15.91,0.2
SALE-2025-000068,2025-10-01,South,Online,AURA-ACC-008,Accessories,133.58,10,15.39,0.2
SALE-2025-000069,2025-10-01,South,Online,AURA-HP-005,Electronics,989.8,13,103.5,0.0
SALE-2025-000070,2025-10-01,South,Online,AURA-HP-006,Electronics,3047.62,13,343.14,0.2
SALE-2025-000071,2025-10-01,South,Online,AURA-SPK-005,Electronics,306.32,5,37.88,0.0
SALE-2025-000072,2025-10-01,South,Online,AURA-ACC-009,Accessories,310.9,7,37.61,0.2
SALE-2025-000073,2025-10-01,South,Online,AURA-CBL-007,Cables,292.22,7,33.16,0.0
SALE-2025-000074,2025-10-01,South,Retail,AURA-SPK-001,Electronics,291.57,3,35.09,0.15
SALE-2025-000075,2025-10-01,South,Retail,AURA-CBL-001,Cables,89.16,7,10.36,0.05
SALE-2025-000076,2025-10-01,South,Retail,AURA-SPK-002,Electronics,454.22,9,43.61,0.0
SALE-2025-000077,2025-10-01,South,Retail,AURA-SPK-003,Electronics,951.38,5,111.51,0.15
SALE-2025-000078,2025-10-01,South,Retail,AURA-SPK-004,Electronics,775.76,6,108.03,0.2
SALE-2025-000079,2025-10-01,South,Retail,AURA-CBL-004,Cables,57.76,7,8.18,0.0
SALE-2025-000080,2025-10-01,South,Retail,AURA-CBL-006,Cables,92.04,7,8.94,0.0
SALE-2025-000081,2025-10-01,South,Retail,AURA-ACC-005,Accessories,29.05,3,3.32,0.05
SALE-2025-000082,2025-10-01,South,Retail,AURA-ACC-006,Accessories,36.04,5,3.47,0.2
SALE-2025-000083,2025-10-01,South,Retail,AURA-HP-006,Electronics,1463.87,6,179.7,0.2
SALE-2025-000084,2025-10-01,South,Retail,AURA-SPK-005,Electronics,222.36,4,26.31,0.1
SALE-2025-000085,2025-10-01,South,Retail,AURA-CBL-007,Cables,479.48,11,62.58,0.1
SALE-2025-000086,2025-10-01,South,Retail,AURA-ACC-010,Accessories,297.32,5,34.91,0.0
SALE-2025-000087,2025-10-01,South,Retail,AURA-SPK-006,Electronics,837.54,8,111.19,0.1
SALE-2025-000088,2025-10-01,South,Partner,AURA-HP-002,Electronics,909.82,12,106.55,0.15
SALE-2025-000089,2025-10-01,South,Partner,AURA-SPK-001,Electronics,515.29,6,52.89,0.0
SALE-2025-000090,2025-10-01,South,Partner,AURA-CBL-001,Cables,132.97,11,14.13,0.05
SALE-2025-000091,2025-10-01,South,Partner,AURA-ACC-001,Accessories,211.73,6,24.6,0.2
SALE-2025-000092,2025-10-01,South,Partner,AURA-HP-003,Electronics,1870.29,9,256.46,0.2
SALE-2025-000093,2025-10-01,South,Partner,AURA-HP-004,Electronics,398.06,10,45.67,0.2
SALE-2025-000094,2025-10-01,South,Partner,AURA-SPK-002,Electronics,367.25,7,44.88,0.1
SALE-2025-000095,2025-10-01,South,Partner,AURA-SPK-004,Electronics,620.43,5,79.48,0.2
SALE-2025-000096,2025-10-01,South,Partner,AURA-CBL-002,Cables,74.57,8,8.83,0.0
SALE-2025-000097,2025-10-01,South,Partner,AURA-CBL-004,Cables,34.56,4,3.46,0.05
SALE-2025-000098,2025-10-01,South,Partner,AURA-CBL-005,Cables,59.49,5,5.85,0.05
SALE-2025-000099,2025-10-01,South,Partner,AURA-CBL-006,Cables,55.45,4,6.06,0.2
SALE-2025-000100,2025-10-01,South,Partner,AURA-ACC-002,Accessories,277.28,13,32.88,0.15
SALE-2025-000101,2025-10-01,South,Partner,AURA-ACC-003,Accessories,164.94,5,22.02,0.15
SALE-2025-000102,2025-10-01,South,Partner,AURA-ACC-004,Accessories,249.11,11,26.87,0.2
SALE-2025-000103,2025-10-01,South,Partner,AURA-ACC-005,Accessories,92.01,11,11.32,0.0
SALE-2025-000104,2025-10-01,South,Partner,AURA-ACC-006,Accessories,73.14,11,8.32,0.1
SALE-2025-000105,2025-10-01,South,Partner,AURA-HP-005,Electronics,670.14,9,65.16,0.0
SALE-2025-000106,2025-10-01,South,Partner,AURA-HP-006,Electronics,1741.31,7,198.53,0.15
SALE-2025-000107,2025-10-01,South,Partner,AURA-SPK-005,Electronics,549.85,9,71.19,0.0
SALE-2025-000108,2025-10-01,South,Partner,AURA-ACC-010,Accessories,361.87,6,48.33,0.0
SALE-2025-000109,2025-10-01,South,Partner,AURA-HP-007,Electronics,1135.42,11,109.69,0.05
SALE-2025-000110,2025-10-01,East,Online,AURA-HP-002,Electronics,786.26,9,99.47,0.2
SALE-2025-000111,2025-10-01,East,Online,AURA-SPK-001,Electronics,753.7,9,95.89,0.1
SALE-2025-000112,2025-10-01,East,Online,AURA-ACC-001,Accessories,383.62,11,44.85,0.15
SALE-2025-000113,2025-10-01,East,Online,AURA-HP-003,Electronics,1543.06,8,168.79,0.05
SALE-2025-000114,2025-10-01,East,Online,AURA-HP-004,Electronics,595.62,15,74.63,0.05
SALE-2025-000115,2025-10-01,East,Online,AURA-SPK-002,Electronics,299.6,6,33.86,0.0
SALE-2025-000116,2025-10-01,East,Online,AURA-SPK-003,Electronics,2130.49,11,276.23,0.0
SALE-2025-000117,2025-10-01,East,Online,AURA-SPK-004,Electronics,1043.38,8,120.52,0.1
SALE-2025-000118,2025-10-01,East,Online,AURA-CBL-005,Cables,126.92,10,12.75,0.0
SALE-2025-000119,2025-10-01,East,Online,AURA-CBL-006,Cables,79.63,6,9.76,0.0
SALE-2025-000120,2025-10-01,East,Online,AURA-ACC-002,Accessories,104.87,5,11.73,0.15
SALE-2025-000121,2025-10-01,East,Online,AURA-ACC-003,Accessories,230.64,8,25.63,0.15
SALE-2025-000122,2025-10-01,East,Online,AURA-ACC-004,Accessories,315.61,12,33.1,0.0
SALE-2025-000123,2025-10-01,East,Online,AURA-ACC-006,Accessories,56.92,8,8.14,0.2
SALE-2025-000124,2025-10-01,East,Online,AURA-ACC-007,Accessories,45.36,3,4.75,0.0
SALE-2025-000125,2025-10-01,East,Online,AURA-HP-005,Electronics,636.28,10,89.92,0.15
SALE-2025-000126,2025-10-01,East,Online,AURA-SPK-005,Electronics,515.7,8,63.72,0.05
SALE-2025-000127,2025-10-01,East,Online,AURA-ACC-009,Accessories,435.57,10,59.83,0.0
SALE-2025-000128,2025-10-01,East,Online,AURA-ACC-010,Accessories,352.14,7,44.44,0.0
SALE-2025-000129,2025-10-01,East,Online,AURA-HP-007,Electronics,955.91,9,103.16,0.1
SALE-2025-000130,2025-10-01,East,Retail,AURA-CBL-001,Cables,91.34,7,10.74,0.05
SALE-2025-000131,2025-10-01,East,Retail,AURA-ACC-001,Accessories,142.44,4,14.09,0.15
SALE-2025-000132,2025-10-01,East,Retail,AURA-HP-003,Electronics,1894.49,9,238.75,0.0
SALE-2025-000133,2025-10-01,East,Retail,AURA-SPK-002,Electronics,373.83,8,43.97,0.1
SALE-2025-000134,2025-10-01,East,Retail,AURA-SPK-003,Electronics,1305.33,8,143.36,0.0
SALE-2025-000135,2025-10-01,East,Retail,AURA-CBL-002,Cables,124.37,12,15.67,0.15
SALE-2025-000136,2025-10-01,East,Retail,AURA-CBL-004,Cables,36.87,5,3.94,0.0
SALE-2025-000137,2025-10-01,East,Retail,AURA-ACC-002,Accessories,111.93,6,13.8,0.0
SALE-2025-000138,2025-10-01,East,Retail,AURA-ACC-003,Accessories,357.63,12,39.55,0.05
SALE-2025-000139,2025-10-01,East,Retail,AURA-ACC-005,Accessories,71.83,8,8.39,0.0
SALE-2025-000140,2025-10-01,East,Retail,AURA-ACC-007,Accessories,120.98,8,15.53,0.2
SALE-2025-000141,2025-10-01,East,Retail,AURA-ACC-008,Accessories,169.93,12,18.51,0.0
SALE-2025-000142,2025-10-01,East,Retail,AURA-HP-006,Electronics,1616.04,7,189.44,0.0
SALE-2025-000143,2025-10-01,East,Retail,AURA-SPK-005,Electronics,305.07,5,30.62,0.0
SALE-2025-000144,2025-10-01,East,Retail,AURA-ACC-009,Accessories,216.9,5,21.91,0.0
SALE-2025-000145,2025-10-01,East,Retail,AURA-CBL-007,Cables,249.23,6,33.66,0.1
SALE-2025-000146,2025-10-01,East,Retail,AURA-ACC-010,Accessories,756.89,15,81.83,0.0
SALE-2025-000147,2025-10-01,East,Retail,AURA-SPK-006,Electronics,1323.73,12,161.55,0.05
SALE-2025-000148,2025-10-01,East,Partner,AURA-HP-002,Electronics,561.99,7,70.75,0.05
SALE-2025-000149,2025-10-01,East,Partner,AURA-ACC-001,Accessories,353.34,10,45.76,0.0
SALE-2025-000150,2025-10-01,East,Partner,AURA-HP-003,Electronics,1231.14,6,165.42,0.15
SALE-2025-000151,2025-10-01,East,Partner,AURA-HP-004,Electronics,242.38,6,34.81,0.0
SALE-2025-000152,2025-10-01,East,Partner,AURA-SPK-002,Electronics,323.16,7,43.93,0.05
SALE-2025-000153,2025-10-01,East,Partner,AURA-SPK-004,Electronics,676.65,5,80.3,0.05
SALE-2025-000154,2025-10-01,East,Partner,AURA-CBL-002,Cables,87.82,9,12.32,0.1
SALE-2025-000155,2025-10-01,East,Partner,AURA-CBL-004,Cables,58.42,8,6.56,0.2
SALE-2025-000156,2025-10-01,East,Partner,AURA-CBL-005,Cables,25.52,2,2.8,0.0
SALE-2025-000157,2025-10-01,East,Partner,AURA-ACC-002,Accessories,206.29,10,24.6,0.0
SALE-2025-000158,2025-10-01,East,Partner,AURA-ACC-003,Accessories,151.25,5,17.83,0.0
SALE-2025-000159,2025-10-01,East,Partner,AURA-ACC-006,Accessories,61.44,9,6.84,0.05
SALE-2025-000160,2025-10-01,East,Partner,AURA-HP-005,Electronics,361.41,5,48.93,0.0
SALE-2025-000161,2025-10-01,East,Partner,AURA-HP-006,Electronics,626.08,3,86.24,0.2
SALE-2025-000162,2025-10-01,East,Partner,AURA-ACC-009,Accessories,340.78,7,32.97,0.0
SALE-2025-000163,2025-10-01,East,Partner,AURA-CBL-007,Cables,371.05,9,52.88,0.0
SALE-2025-000164,2025-10-01,East,Partner,AURA-HP-007,Electronics,915.97,10,102.38,0.15
SALE-2025-000165,2025-10-01,West,Online,AURA-HP-002,Electronics,539.4,7,74.37,0.0
SALE-2025-000166,2025-10-01,West,Online,AURA-CBL-001,Cables,40.41,3,4.44,0.0
SALE-2025-000167,2025-10-01,West,Online,AURA-HP-003,Electronics,551.79,3,64.72,0.15
SALE-2025-000168,2025-10-01,West,Online,AURA-HP-004,Electronics,108.67,3,12.12,0.0
SALE-2025-000169,2025-10-01,West,Online,AURA-SPK-002,Electronics,487.39,10,60.03,0.2
SALE-2025-000170,2025-10-01,West,Online,AURA-SPK-003,Electronics,1682.93,10,210.8,0.05
SALE-2025-000171,2025-10-01,West,Online,AURA-CBL-002,Cables,108.15,10,11.7,0.0
SALE-2025-000172,2025-10-01,West,Online,AURA-CBL-005,Cables,114.81,10,14.03,0.0
SALE-2025-000173,2025-10-01,West,Online,AURA-CBL-006,Cables,54.23,4,6.31,0.0
SALE-2025-000174,2025-10-01,West,Online,AURA-ACC-002,Accessories,95.99,5,13.82,0.2
SALE-2025-000175,2025-10-01,West,Online,AURA-ACC-003,Accessories,113.66,4,16.33,0.0
SALE-2025-000176,2025-10-01,West,Online,AURA-ACC-004,Accessories,159.84,6,18.38,0.0
SALE-2025-000177,2025-10-01,West,Online,AURA-ACC-005,Accessories,65.27,7,8.17,0.05
SALE-2025-000178,2025-10-01,West,Online,AURA-HP-005,Electronics,519.52,7,55.34,0.0
SALE-2025-000179,2025-10-01,West,Retail,AURA-SPK-001,Electronics,266.77,3,26.76,0.0
SALE-2025-000180,2025-10-01,West,Retail,AURA-CBL-001,Cables,63.85,5,6.74,0.2
SALE-2025-000181,2025-10-01,West,Retail,AURA-ACC-001,Accessories,38.29,1,5.2,0.0
SALE-2025-000182,2025-10-01,West,Retail,AURA-SPK-003,Electronics,1159.94,6,156.13,0.05
SALE-2025-000183,2025-10-01,West,Retail,AURA-CBL-002,Cables,120.14,11,17.18,0.2
SALE-2025-000184,2025-10-01,West,Retail,AURA-CBL-004,Cables,33.82,4,3.27,0.1
SALE-2025-000185,2025-10-01,West,Retail,AURA-CBL-005,Cables,81.72,7,9.34,0.15
SALE-2025-000186,2025-10-01,West,Retail,AURA-ACC-002,Accessories,94.63,5,9.2,0.1
SALE-2025-000187,2025-10-01,West,Retail,AURA-ACC-003,Accessories,153.25,5,18.13,0.15
SALE-2025-000188,2025-10-01,West,Retail,AURA-ACC-004,Accessories,98.13,4,10.08,0.0
SALE-2025-000189,2025-10-01,West,Retail,AURA-ACC-005,Accessories,116.7,13,11.96,0.05
SALE-2025-000190,2025-10-01,West,Retail,AURA-ACC-006,Accessories,83.8,11,10.85,0.1
SALE-2025-000191,2025-10-01,West,Retail,AURA-ACC-007,Accessories,150.88,9,15.2,0.05
SALE-2025-000192,2025-10-01,West,Retail,AURA-HP-006,Electronics,2387.43,10,254.09,0.05
SALE-2025-000193,2025-10-01,West,Retail,AURA-CBL-007,Cables,41.48,1,4.7,0.05
SALE-2025-000194,2025-10-01,West,Retail,AURA-ACC-010,Accessories,300.7,5,42.56,0.2
SALE-2025-000195,2025-10-01,West,Retail,AURA-HP-007,Electronics,516.23,5,50.09,0.2
SALE-2025-000196,2025-10-01,West,Retail,AURA-SPK-006,Electronics,482.97,4,64.61,0.0
SALE-2025-000197,2025-10-01,West,Partner,AURA-HP-002,Electronics,673.86,8,92.82,0.0
SALE-2025-000198,2025-10-01,West,Partner,AURA-ACC-001,Accessories,334.31,10,47.88,0.0
SALE-2025-000199,2025-10-01,West,Partner,AURA-HP-003,Electronics,2543.16,12,260.23,0.0
SALE-2025-000200,2025-10-01,West,Partner,AURA-SPK-002,Electronics,530.51,11,55.37,0.0
SALE-2025-000201,2025-10-01,West,Partner,AURA-SPK-003,Electronics,1417.16,8,166.54,0.0
SALE-2025-000202,2025-10-01,West,Partner,AURA-SPK-004,Electronics,958.61,8,115.21,0.1
SALE-2025-000203,2025-10-01,West,Partner,AURA-CBL-002,Cables,105.56,10,12.45,0.0
SALE-2025-000204,2025-10-01,West,Partner,AURA-CBL-003,Cables,74.63,5,8.6,0.15
SALE-2025-000205,2025-10-01,West,Partner,AURA-CBL-004,Cables,8.33,1,0.93,0.0
SALE-2025-000206,2025-10-01,West,Partner,AURA-CBL-005,Cables,114.5,10,14.47,0.1
SALE-2025-000207,2025-10-01,West,Partner,AURA-ACC-002,Accessories,142.66,7,16.64,0.2
SALE-2025-000208,2025-10-01,West,Partner,AURA-ACC-008,Accessories,141.51,11,15.14,0.0
SALE-2025-000209,2025-10-01,West,Partner,AURA-HP-006,Electronics,1683.86,7,182.25,0.0
SALE-2025-000210,2025-10-01,West,Partner,AURA-ACC-009,Accessories,413.12,10,41.35,0.05
SALE-2025-000211,2025-10-01,West,Partner,AURA-CBL-007,Cables,377.1,9,46.82,0.1
SALE-2025-000212,2025-10-01,West,Partner,AURA-ACC-010,Accessories,227.44,4,26.32,0.2
SALE-2025-000213,2025-10-02,North,Online,AURA-HP-003,Electronics,1827.96,9,195.16,0.0
SALE-2025-000214,2025-10-02,North,Online,AURA-HP-004,Electronics,485.28,12,49.26,0.0
SALE-2025-000215,2025-10-02,North,Online,AURA-SPK-002,Electronics,636.74,12,86.14,0.1
SALE-2025-000216,2025-10-02,North,Online,AURA-SPK-004,Electronics,132.82,1,16.94,0.15
SALE-2025-000217,2025-10-02,North,Online,AURA-CBL-002,Cables,65.46,7,7.35,0.0
SALE-2025-000218,2025-10-02,North,Online,AURA-CBL-003,Cables,69.6,5,8.88,0.0
SALE-2025-000219,2025-10-02,North,Online,AURA-CBL-004,Cables,98.43,12,10.47,0.05
SALE-2025-000220,2025-10-02,North,Online,AURA-CBL-005,Cables,89.35,8,9.91,0.0
SALE-2025-000221,2025-10-02,North,Online,AURA-ACC-002,Accessories,164.98,9,20.73,0.15
SALE-2025-000222,2025-10-02,North,Online,AURA-ACC-003,Accessories,237.19,8,27.6,0.1
SALE-2025-000223,2025-10-02,North,Online,AURA-ACC-004,Accessories,190.85,8,22.26,0.0
SALE-2025-000224,2025-10-02,North,Online,AURA-ACC-006,Accessories,42.17,6,4.67,0.0
SALE-2025-000225,2025-10-02,North,Online,AURA-ACC-007,Accessories,163.08,10,17.31,0.0
SALE-2025-000226,2025-10-02,North,Online,AURA-HP-005,Electronics,517.36,8,62.02,0.05
SALE-2025-000227,2025-10-02,North,Online,AURA-HP-006,Electronics,1346.88,6,183.18,0.2
SALE-2025-000228,2025-10-02,North,Online,AURA-SPK-005,Electronics,235.02,4,30.93,0.05
SALE-2025-000229,2025-10-02,North,Online,AURA-ACC-009,Accessories,487.8,10,60.25,0.15
SALE-2025-000230,2025-10-02,North,Online,AURA-ACC-010,Accessories,269.73,5,38.4,0.0
SALE-2025-000231,2025-10-02,North,Retail,AURA-CBL-001,Cables,111.08,8,13.46,0.05
SALE-2025-000232,2025-10-02,North,Retail,AURA-HP-004,Electronics,464.45,11,46.29,0.15
SALE-2025-000233,2025-10-02,North,Retail,AURA-SPK-002,Electronics,500.9,10,65.57,0.2
SALE-2025-000234,2025-10-02,North,Retail,AURA-SPK-004,Electronics,717.98,6,77.75,0.0
SALE-2025-000235,2025-10-02,North,Retail,AURA-CBL-005,Cables,25.29,2,3.35,0.05
SALE-2025-000236,2025-10-02,North,Retail,AURA-ACC-005,Accessories,78.69,8,8.75,0.05
SALE-2025-000237,2025-10-02,North,Retail,AURA-ACC-006,Accessories,48.36,7,4.77,0.1
SALE-2025-000238,2025-10-02,North,Retail,AURA-ACC-007,Accessories,158.68,10,15.52,0.0
SALE-2025-000239,2025-10-02,North,Retail,AURA-HP-005,Electronics,750.89,10,90.36,0.05
SALE-2025-000240,2025-10-02,North,Retail,AURA-HP-006,Electronics,1003.53,4,131.93,0.0
SALE-2025-000241,2025-10-02,North,Retail,AURA-SPK-005,Electronics,382.24,6,45.42,0.0
SALE-2025-000242,2025-10-02,North,Retail,AURA-CBL-007,Cables,212.39,5,28.93,0.15
SALE-2025-000243,2025-10-02,North,Retail,AURA-ACC-010,Accessories,679.17,12,97.51,0.1
SALE-2025-000244,2025-10-02,North,Retail,AURA-HP-007,Electronics,838.49,9,95.5,0.0
SALE-2025-000245,2025-10-02,North,Retail,AURA-SPK-006,Electronics,812.19,7,102.57,0.0
SALE-2025-000246,2025-10-02,North,Partner,AURA-HP-002,Electronics,514.52,7,66.15,0.0
SALE-2025-000247,2025-10-02,North,Partner,AURA-SPK-001,Electronics,1059.49,11,109.36,0.0
SALE-2025-000248,2025-10-02,North,Partner,AURA-CBL-001,Cables,84.41,7,9.52,0.15
SALE-2025-000249,2025-10-02,North,Partner,AURA-HP-003,Electronics,2037.91,10,232.49,0.2
SALE-2025-000250,2025-10-02,North,Partner,AURA-HP-004,Electronics,259.09,7,33.61,0.15
SALE-2025-000251,2025-10-02,North,Partner,AURA-SPK-004,Electronics,940.95,7,104.28,0.0
SALE-2025-000252,2025-10-02,North,Partner,AURA-CBL-002,Cables,73.65,7,7.75,0.0
SALE-2025-000253,2025-10-02,North,Partner,AURA-CBL-003,Cables,115.02,8,14.02,0.15
SALE-2025-000254,2025-10-02,North,Partner,AURA-CBL-005,Cables,46.39,4,6.16,0.0
SALE-2025-000255,2025-10-02,North,Partner,AURA-CBL-006,Cables,117.2,9,14.77,0.0
SALE-2025-000256,2025-10-02,North,Partner,AURA-ACC-003,Accessories,350.11,12,45.7,0.05
SALE-2025-000257,2025-10-02,North,Partner,AURA-ACC-007,Accessories,197.03,13,27.46,0.0
SALE-2025-000258,2025-10-02,North,Partner,AURA-ACC-008,Accessories,84.91,6,12.16,0.05
SALE-2025-000259,2025-10-02,North,Partner,AURA-SPK-005,Electronics,531.13,9,66.4,0.2
SALE-2025-000260,2025-10-02,North,Partner,AURA-ACC-009,Accessories,416.34,9,57.44,0.1
SALE-2025-000261,2025-10-02,North,Partner,AURA-HP-007,Electronics,832.36,9,97.86,0.1
SALE-2025-000262,2025-10-02,North,Partner,AURA-SPK-006,Electronics,868.92,8,122.89,0.0
SALE-2025-000263,2025-10-02,South,Online,AURA-ACC-001,Accessories,171.33,5,17.12,0.0
SALE-2025-000264,2025-10-02,South,Online,AURA-HP-003,Electronics,2172.22,10,296.03,0.15
SALE-2025-000265,2025-10-02,South,Online,AURA-HP-004,Electronics,520.23,14,61.74,0.2
SALE-2025-000266,2025-10-02,South,Online,AURA-SPK-002,Electronics,468.4,9,55.05,0.0
SALE-2025-000267,2025-10-02,South,Online,AURA-SPK-004,Electronics,1471.17,12,184.23,0.05
SALE-2025-000268,2025-10-02,South,Online,AURA-CBL-002,Cables,124.37,13,13.74,0.0
