RETURN_ID,RETURN_DATE,SALE_DATE,PRODUCT_SKU,GEO_TERRITORY,CHANNEL,RETURN_REASON,REFUND_AMOUNT,RETURN_RATE
RET-2025-000031,2025-10-10,2025-10-01,AURA-ACC-002,North,Partner,Wrong Item,18.52,0.07
RET-2025-000032,2025-10-09,2025-10-01,AURA-ACC-006,North,Partner,Wrong Item,6.84,0.07
RET-2025-000033,2025-10-09,2025-10-01,AURA-ACC-009,North,Partner,Changed Mind,39.53,0.07
RET-2025-000034,2025-10-04,2025-10-01,AURA-SPK-006,North,Partner,Other,104.17,0.07
RET-2025-000035,2025-10-18,2025-10-01,AURA-SPK-006,North,Partner,Other,101.74,0.07
RET-2025-000036,2025-10-11,2025-10-01,AURA-HP-002,South,Online,Wrong Item,76.79,0.07
RET-2025-000037,2025-10-25,2025-10-01,AURA-HP-002,South,Online,Changed Mind,78.73,0.07
RET-2025-000038,2025-10-26,2025-10-01,AURA-SPK-002,South,Online,Other,41.41,0.07
RET-2025-000039,2025-10-25,2025-10-01,AURA-SPK-003,South,Online,Other,182.99,0.07
RET-2025-000040,2025-10-20,2025-10-01,AURA-SPK-003,South,Online,Changed Mind,166.8,0.07
RET-2025-000041,2025-10-18,2025-10-01,AURA-CBL-005,South,Online,Other,11.11,0.07
RET-2025-000042,2025-10-08,2025-10-01,AURA-CBL-005,South,Online,Other,12.01,0.07
RET-2025-000043,2025-10-22,2025-10-01,AURA-ACC-004,South,Online,Wrong Item,23.0,0.07
RET-2025-000044,2025-10-18,2025-10-01,AURA-ACC-008,South,Online,Wrong Item,11.68,0.07
RET-2025-000045,2025-10-24,2025-10-01,AURA-ACC-008,South,Online,Wrong Item,11.81,0.07
RET-2025-000046,2025-10-15,2025-10-01,AURA-HP-005,South,Online,Defective,67.87,0.07
RET-2025-000047,2025-10-20,2025-10-01,AURA-HP-005,South,Online,Defective,68.3,0.07
RET-2025-000048,2025-10-11,2025-10-01,AURA-HP-006,South,Online,Wrong Item,210.95,0.07
RET-2025-000049,2025-10-25,2025-10-01,AURA-SPK-005,South,Online,Wrong Item,59.79,0.07
RET-2025-000050,2025-10-24,2025-10-01,AURA-ACC-009,South,Online,Wrong Item,39.15,0.07
RET-2025-000051,2025-10-14,2025-10-01,AURA-ACC-009,South,Online,Defective,41.78,0.07
RET-2025-000052,2025-10-22,2025-10-01,AURA-CBL-001,South,Retail,Changed Mind,10.87,0.07
RET-2025-000053,2025-10-20,2025-10-01,AURA-CBL-006,South,Retail,Changed Mind,12.8,0.07
RET-2025-000054,2025-10-20,2025-10-01,AURA-CBL-006,South,Retail,Changed Mind,13.13,0.07
RET-2025-000055,2025-10-19,2025-10-01,AURA-CBL-007,South,Retail,Wrong Item,42.25,0.07
RET-2025-000056,2025-10-10,2025-10-01,AURA-CBL-001,South,Partner,Changed Mind,11.39,0.07
RET-2025-000057,2025-10-09,2025-10-01,AURA-CBL-006,South,Partner,Other,12.8,0.07
RET-2025-000058,2025-10-24,2025-10-01,AURA-ACC-002,South,Partner,Changed Mind,21.05,0.07
RET-2025-000059,2025-10-08,2025-10-01,AURA-ACC-004,South,Partner,Changed Mind,20.74,0.07
RET-2025-000060,2025-10-16,2025-10-01,AURA-HP-006,South,Partner,Defective,218.53,0.07
RET-2025-000061,2025-10-08,2025-10-01,AURA-SPK-005,South,Partner,Changed Mind,56.44,0.07
RET-2025-000062,2025-10-12,2025-10-01,AURA-HP-007,South,Partner,Defective,98.12,0.07
RET-2025-000063,2025-10-07,2025-10-01,AURA-HP-002,East,Online,Wrong Item,77.77,0.07
RET-2025-000064,2025-10-04,2025-10-01,AURA-SPK-001,East,Online,Wrong Item,80.46,0.07
RET-2025-000065,2025-10-17,2025-10-01,AURA-ACC-001,East,Online,Other,31.72,0.07
RET-2025-000066,2025-10-11,2025-10-01,AURA-ACC-001,East,Online,Other,34.06,0.07
RET-2025-000067,2025-10-10,2025-10-01,AURA-SPK-002,East,Online,Defective,44.47,0.07
RET-2025-000068,2025-10-17,2025-10-01,AURA-SPK-002,East,Online,Other,45.47,0.07
RET-2025-000069,2025-10-21,2025-10-01,AURA-SPK-003,East,Online,Wrong Item,177.01,0.07
RET-2025-000070,2025-10-14,2025-10-01,AURA-SPK-004,East,Online,Other,115.37,0.07
RET-2025-000071,2025-10-17,2025-10-01,AURA-SPK-004,East,Online,Wrong Item,118.66,0.07
RET-2025-000072,2025-10-25,2025-10-01,AURA-CBL-005,East,Online,Wrong Item,12.15,0.07
RET-2025-000073,2025-10-16,2025-10-01,AURA-CBL-005,East,Online,Wrong Item,12.59,0.07
RET-2025-000074,2025-10-06,2025-10-01,AURA-ACC-003,East,Online,Changed Mind,24.74,0.07
RET-2025-000075,2025-10-04,2025-10-01,AURA-ACC-004,East,Online,Wrong Item,25.88,0.07
RET-2025-000076,2025-10-19,2025-10-01,AURA-ACC-006,East,Online,Changed Mind,6.89,0.07
RET-2025-000077,2025-10-07,2025-10-01,AURA-HP-005,East,Online,Wrong Item,63.25,0.07
RET-2025-000078,2025-10-19,2025-10-01,AURA-ACC-010,East,Online,Wrong Item,45.76,0.07
RET-2025-000079,2025-10-12,2025-10-01,AURA-ACC-001,East,Retail,Changed Mind,32.42,0.07
RET-2025-000080,2025-10-24,2025-10-01,AURA-HP-003,East,Retail,Wrong Item,190.78,0.07
RET-2025-000081,2025-10-09,2025-10-01,AURA-HP-003,East,Retail,Other,193.55,0.07
RET-2025-000082,2025-10-09,2025-10-01,AURA-SPK-003,East,Retail,Other,146.87,0.07
RET-2025-000083,2025-10-23,2025-10-01,AURA-ACC-002,East,Retail,Other,16.34,0.07
RET-2025-000084,2025-10-07,2025-10-01,AURA-ACC-008,East,Retail,Wrong Item,12.1,0.07
RET-2025-000085,2025-10-08,2025-10-01,AURA-HP-006,East,Retail,Changed Mind,217.26,0.07
RET-2025-000086,2025-10-20,2025-10-01,AURA-CBL-007,East,Retail,Defective,36.94,0.07
RET-2025-000087,2025-10-20,2025-10-01,AURA-ACC-010,East,Retail,Wrong Item,44.85,0.07
RET-2025-000088,2025-10-19,2025-10-01,AURA-ACC-010,East,Retail,Defective,49.95,0.07
RET-2025-000089,2025-10-05,2025-10-01,AURA-SPK-006,East,Retail,Defective,108.92,0.07
RET-2025-000090,2025-10-13,2025-10-01,AURA-ACC-001,East,Partner,Other,33.83,0.07
RET-2025-000091,2025-10-06,2025-10-01,AURA-HP-003,East,Partner,Wrong Item,200.75,0.07
RET-2025-000092,2025-10-13,2025-10-01,AURA-CBL-004,East,Partner,Other,7.11,0.07
RET-2025-000093,2025-10-04,2025-10-01,AURA-ACC-002,East,Partner,Defective,19.47,0.07
RET-2025-000094,2025-10-20,2025-10-01,AURA-ACC-003,East,Partner,Other,29.2,0.07
RET-2025-000095,2025-10-23,2025-10-01,AURA-CBL-007,East,Partner,Changed Mind,36.85,0.07
RET-2025-000096,2025-10-17,2025-10-01,AURA-HP-007,East,Partner,Changed Mind,85.03,0.07
RET-2025-000097,2025-10-15,2025-10-01,AURA-HP-007,East,Partner,Changed Mind,87.47,0.07
RET-2025-000098,2025-10-23,2025-10-01,AURA-HP-002,West,Online,Defective,75.93,0.07
RET-2025-000099,2025-10-19,2025-10-01,AURA-SPK-002,West,Online,Other,43.02,0.07
RET-2025-000100,2025-10-22,2025-10-01,AURA-SPK-003,West,Online,Other,161.0,0.07
RET-2025-000101,2025-10-25,2025-10-01,AURA-SPK-003,West,Online,Defective,153.68,0.07
RET-2025-000102,2025-10-11,2025-10-01,AURA-SPK-003,West,Online,Defective,158.31,0.07
RET-2025-000103,2025-10-05,2025-10-01,AURA-CBL-005,West,Online,Other,10.42,0.07
RET-2025-000104,2025-10-18,2025-10-01,AURA-CBL-005,West,Retail,Wrong Item,10.57,0.07
RET-2025-000105,2025-10-08,2025-10-01,AURA-ACC-002,West,Retail,Defective,18.51,0.07
RET-2025-000106,2025-10-08,2025-10-01,AURA-ACC-002,West,Retail,Wrong Item,17.03,0.07
RET-2025-000107,2025-10-21,2025-10-01,AURA-ACC-006,West,Retail,Defective,7.34,0.07
RET-2025-000108,2025-10-17,2025-10-01,AURA-ACC-007,West,Retail,Changed Mind,15.85,0.07
RET-2025-000109,2025-10-22,2025-10-01,AURA-ACC-007,West,Retail,Changed Mind,15.21,0.07
RET-2025-000110,2025-10-10,2025-10-01,AURA-ACC-007,West,Retail,Wrong Item,15.59,0.07
RET-2025-000111,2025-10-06,2025-10-01,AURA-SPK-006,West,Retail,Other,110.02,0.07
RET-2025-000112,2025-10-07,2025-10-01,AURA-HP-002,West,Partner,Defective,72.83,0.07
RET-2025-000113,2025-10-15,2025-10-01,AURA-ACC-001,West,Partner,Changed Mind,33.02,0.07
RET-2025-000114,2025-10-23,2025-10-01,AURA-SPK-003,West,Partner,Defective,175.75,0.07
RET-2025-000115,2025-10-16,2025-10-01,AURA-CBL-002,West,Partner,Wrong Item,9.6,0.07
RET-2025-000116,2025-10-19,2025-10-01,AURA-ACC-008,West,Partner,Wrong Item,11.63,0.07
RET-2025-000117,2025-10-16,2025-10-01,AURA-ACC-008,West,Partner,Other,11.12,0.07
RET-2025-000118,2025-10-12,2025-10-01,AURA-ACC-008,West,Partner,Wrong Item,12.65,0.07
RET-2025-000119,2025-10-23,2025-10-01,AURA-CBL-007,West,Partner,Other,41.3,0.07
RET-2025-000120,2025-10-22,2025-10-02,AURA-HP-004,North,Online,Other,40.28,0.07
RET-2025-000121,2025-10-16,2025-10-02,AURA-SPK-002,North,Online,Changed Mind,50.69,0.07
RET-2025-000122,2025-10-24,2025-10-02,AURA-CBL-004,North,Online,Wrong Item,7.7,0.07
RET-2025-000123,2025-10-11,2025-10-02,AURA-CBL-005,North,Online,Other,9.89,0.07
RET-2025-000124,2025-10-14,2025-10-02,AURA-HP-005,North,Online,Other,56.62,0.07
RET-2025-000125,2025-10-14,2025-10-02,AURA-HP-006,North,Online,Wrong Item,221.63,0.07
RET-2025-000126,2025-10-13,2025-10-02,AURA-ACC-009,North,Online,Changed Mind,44.31,0.07
RET-2025-000127,2025-10-23,2025-10-02,AURA-CBL-001,North,Retail,Changed Mind,13.04,0.07
RET-2025-000128,2025-10-20,2025-10-02,AURA-ACC-005,North,Retail,Wrong Item,9.31,0.07
RET-2025-000129,2025-10-15,2025-10-02,AURA-ACC-006,North,Retail,Wrong Item,6.57,0.07
RET-2025-000130,2025-10-08,2025-10-02,AURA-ACC-007,North,Retail,Wrong Item,14.37,0.07
RET-2025-000131,2025-10-07,2025-10-02,AURA-SPK-005,North,Retail,Other,62.25,0.07
RET-2025-000132,2025-10-22,2025-10-02,AURA-CBL-007,North,Retail,Changed Mind,39.45,0.07
RET-2025-000133,2025-10-15,2025-10-02,AURA-ACC-010,North,Retail,Changed Mind,50.74,0.07
RET-2025-000134,2025-10-15,2025-10-02,AURA-HP-007,North,Retail,Wrong Item,90.77,0.07
RET-2025-000135,2025-10-09,2025-10-02,AURA-HP-007,North,Retail,Wrong Item,84.29,0.07
RET-2025-000136,2025-10-12,2025-10-02,AURA-HP-007,North,Retail,Wrong Item,90.7,0.07
RET-2025-000137,2025-10-17,2025-10-02,AURA-HP-003,North,Partner,Wrong Item,174.59,0.07
RET-2025-000138,2025-10-25,2025-10-02,AURA-CBL-006,North,Partner,Other,12.4,0.07
RET-2025-000139,2025-10-19,2025-10-02,AURA-ACC-007,North,Partner,Other,14.56,0.07
RET-2025-000140,2025-10-19,2025-10-02,AURA-ACC-009,North,Partner,Other,40.1,0.07
RET-2025-000141,2025-10-25,2025-10-02,AURA-ACC-001,South,Online,Wrong Item,31.97,0.07
RET-2025-000142,2025-10-27,2025-10-02,AURA-HP-003,South,Online,Changed Mind,186.47,0.07
RET-2025-000143,2025-10-21,2025-10-02,AURA-SPK-002,South,Online,Wrong Item,47.97,0.07
RET-2025-000144,2025-10-10,2025-10-02,AURA-SPK-004,South,Online,Other,113.91,0.07
RET-2025-000145,2025-10-21,2025-10-02,AURA-SPK-004,South,Online,Changed Mind,106.36,0.07
RET-2025-000146,2025-10-09,2025-10-02,AURA-SPK-004,South,Online,Changed Mind,109.28,0.07
RET-2025-000147,2025-10-24,2025-10-02,AURA-CBL-002,South,Online,Wrong Item,9.14,0.07
RET-2025-000148,2025-10-26,2025-10-02,AURA-CBL-002,South,Online,Wrong Item,9.19,0.07
RET-2025-000149,2025-10-10,2025-10-02,AURA-CBL-003,South,Online,Changed Mind,13.58,0.07
RET-2025-000150,2025-10-13,2025-10-02,AURA-ACC-006,South,Online,Wrong Item,6.26,0.07
RET-2025-000151,2025-10-20,2025-10-02,AURA-ACC-008,South,Online,Defective,11.85,0.07
RET-2025-000152,2025-10-26,2025-10-02,AURA-ACC-008,South,Online,Changed Mind,12.21,0.07
RET-2025-000153,2025-10-16,2025-10-02,AURA-SPK-006,South,Online,Changed Mind,102.61,0.07
RET-2025-000154,2025-10-06,2025-10-02,AURA-SPK-001,South,Retail,Other,92.04,0.07
RET-2025-000155,2025-10-19,2025-10-02,AURA-CBL-001,South,Retail,Other,11.57,0.07
RET-2025-000156,2025-10-08,2025-10-02,AURA-CBL-006,South,Retail,Defective,13.66,0.07
RET-2025-000157,2025-10-15,2025-10-02,AURA-HP-004,South,Partner,Wrong Item,34.05,0.07
RET-2025-000158,2025-10-14,2025-10-02,AURA-ACC-004,South,Partner,Other,22.01,0.07
RET-2025-000159,2025-10-10,2025-10-02,AURA-ACC-001,East,Online,Other,31.15,0.07
RET-2025-000160,2025-10-19,2025-10-02,AURA-SPK-004,East,Online,Wrong Item,115.44,0.07
RET-2025-000161,2025-10-14,2025-10-02,AURA-ACC-004,East,Online,Changed Mind,24.39,0.07
RET-2025-000162,2025-10-16,2025-10-02,AURA-ACC-004,East,Online,Wrong Item,23.17,0.07
RET-2025-000163,2025-10-25,2025-10-02,AURA-ACC-005,East,Online,Changed Mind,7.15,0.07
RET-2025-000164,2025-10-20,2025-10-02,AURA-ACC-006,East,Online,Changed Mind,6.64,0.07
RET-2025-000165,2025-10-13,2025-10-02,AURA-ACC-006,East,Online,Wrong Item,6.55,0.07
RET-2025-000166,2025-10-22,2025-10-02,AURA-CBL-007,East,Online,Other,35.86,0.07
RET-2025-000167,2025-10-15,2025-10-02,AURA-ACC-010,East,Online,Other,52.08,0.07
RET-2025-000168,2025-10-24,2025-10-02,AURA-HP-003,East,Retail,Changed Mind,180.54,0.07
RET-2025-000169,2025-10-15,2025-10-02,AURA-SPK-003,East,Retail,Other,171.53,0.07
RET-2025-000170,2025-10-12,2025-10-02,AURA-CBL-006,East,Retail,Wrong Item,13.18,0.07
RET-2025-000171,2025-10-09,2025-10-02,AURA-CBL-006,East,Retail,Wrong Item,14.59,0.07
RET-2025-000172,2025-10-11,2025-10-02,AURA-ACC-003,East,Retail,Changed Mind,26.27,0.07
RET-2025-000173,2025-10-22,2025-10-02,AURA-ACC-006,East,Retail,Changed Mind,6.44,0.07
RET-2025-000174,2025-10-18,2025-10-02,AURA-SPK-005,East,Retail,Changed Mind,53.47,0.07
RET-2025-000175,2025-10-25,2025-10-02,AURA-HP-007,East,Retail,Other,99.41,0.07
RET-2025-000176,2025-10-18,2025-10-02,AURA-ACC-003,East,Partner,Defective,30.33,0.07
RET-2025-000177,2025-10-13,2025-10-02,AURA-ACC-005,East,Partner,Other,8.13,0.07
RET-2025-000178,2025-10-20,2025-10-02,AURA-ACC-007,East,Partner,Wrong Item,15.92,0.07
RET-2025-000179,2025-10-10,2025-10-02,AURA-SPK-005,East,Partner,Other,60.88,0.07
RET-2025-000180,2025-10-11,2025-10-02,AURA-HP-007,East,Partner,Changed Mind,104.73,0.07
RET-2025-000181,2025-10-21,2025-10-02,AURA-HP-007,East,Partner,Wrong Item,107.24,0.07
RET-2025-000182,2025-10-09,2025-10-02,AURA-CBL-001,West,Online,Other,10.93,0.07
RET-2025-000183,2025-10-27,2025-10-02,AURA-SPK-002,West,Online,Wrong Item,49.37,0.07
RET-2025-000184,2025-10-13,2025-10-02,AURA-CBL-003,West,Online,Other,16.0,0.07
RET-2025-000185,2025-10-05,2025-10-02,AURA-CBL-003,West,Online,Other,14.24,0.07
RET-2025-000186,2025-10-21,2025-10-02,AURA-CBL-004,West,Online,Wrong Item,7.07,0.07
RET-2025-000187,2025-10-09,2025-10-02,AURA-ACC-007,West,Online,Changed Mind,16.28,0.07
RET-2025-000188,2025-10-22,2025-10-02,AURA-ACC-008,West,Online,Other,11.55,0.07
RET-2025-000189,2025-10-25,2025-10-02,AURA-SPK-001,West,Retail,Changed Mind,78.39,0.07
RET-2025-000190,2025-10-22,2025-10-02,AURA-CBL-001,West,Retail,Other,12.83,0.07
RET-2025-000191,2025-10-05,2025-10-02,AURA-ACC-001,West,Retail,Defective,31.94,0.07
RET-2025-000192,2025-10-14,2025-10-02,AURA-CBL-003,West,Retail,Wrong Item,14.12,0.07
RET-2025-000193,2025-10-18,2025-10-02,AURA-CBL-003,West,Retail,Changed Mind,13.63,0.07
RET-2025-000194,2025-10-13,2025-10-02,AURA-CBL-003,West,Retail,Wrong Item,13.22,0.07
RET-2025-000195,2025-10-17,2025-10-02,AURA-CBL-006,West,Retail,Wrong Item,12.55,0.07
RET-2025-000196,2025-10-12,2025-10-02,AURA-ACC-005,West,Retail,Wrong Item,9.29,0.07
RET-2025-000197,2025-10-08,2025-10-02,AURA-HP-006,West,Retail,Wrong Item,199.45,0.07
RET-2025-000198,2025-10-22,2025-10-02,AURA-HP-006,West,Retail,Defective,205.83,0.07
RET-2025-000199,2025-10-12,2025-10-02,AURA-CBL-007,West,Retail,Changed Mind,36.34,0.07
RET-2025-000200,2025-10-18,2025-10-02,AURA-ACC-010,West,Retail,Changed Mind,52.35,0.07
RET-2025-000201,2025-10-07,2025-10-02,AURA-SPK-006,West,Retail,Changed Mind,103.93,0.07
RET-2025-000202,2025-10-14,2025-10-02,AURA-HP-002,West,Partner,Wrong Item,71.99,0.07
RET-2025-000203,2025-10-10,2025-10-02,AURA-HP-002,West,Partner,Other,62.02,0.07
RET-2025-000204,2025-10-22,2025-10-02,AURA-CBL-001,West,Partner,Other,11.88,0.07
RET-2025-000205,2025-10-24,2025-10-02,AURA-HP-003,West,Partner,Defective,210.26,0.07
RET-2025-000206,2025-10-16,2025-10-02,AURA-SPK-002,West,Partner,Other,46.03,0.07
RET-2025-000207,2025-10-26,2025-10-02,AURA-SPK-004,West,Partner,Defective,117.34,0.07
RET-2025-000208,2025-10-13,2025-10-02,AURA-CBL-003,West,Partner,Other,15.25,0.07
RET-2025-000209,2025-10-24,2025-10-02,AURA-ACC-008,West,Partner,Changed Mind,12.15,0.07
RET-2025-000210,2025-10-27,2025-10-02,AURA-HP-005,West,Partner,Changed Mind,65.54,0.07
RET-2025-000211,2025-10-19,2025-10-02,AURA-ACC-009,West,Partner,Other,36.97,0.07
RET-2025-000212,2025-10-07,2025-10-03,AURA-HP-002,North,Online,Defective,66.52,0.07
RET-2025-000213,2025-10-13,2025-10-03,AURA-CBL-001,North,Online,Other,12.33,0.07
RET-2025-000214,2025-10-24,2025-10-03,AURA-CBL-001,North,Online,Changed Mind,12.55,0.07
RET-2025-000215,2025-10-16,2025-10-03,AURA-ACC-001,North,Online,Wrong Item,31.81,0.07
RET-2025-000216,2025-10-23,2025-10-03,AURA-ACC-001,North,Online,Wrong Item,31.67,0.07
RET-2025-000217,2025-10-08,2025-10-03,AURA-ACC-001,North,Online,Wrong Item,33.12,0.07
RET-2025-000218,2025-10-14,2025-10-03,AURA-HP-003,North,Online,Other,177.82,0.07
RET-2025-000219,2025-10-22,2025-10-03,AURA-SPK-004,North,Online,Changed Mind,111.54,0.07
RET-2025-000220,2025-10-21,2025-10-03,AURA-SPK-004,North,Online,Changed Mind,117.39,0.07
RET-2025-000221,2025-10-21,2025-10-03,AURA-ACC-002,North,Online,Wrong Item,15.59,0.07
RET-2025-000222,2025-10-06,2025-10-03,AURA-ACC-006,North,Online,Wrong Item,5.99,0.07
RET-2025-000223,2025-10-18,2025-10-03,AURA-ACC-006,North,Online,Wrong Item,6.05,0.07
RET-2025-000224,2025-10-15,2025-10-03,AURA-ACC-007,North,Online,Changed Mind,13.07,0.07
RET-2025-000225,2025-10-18,2025-10-03,AURA-SPK-005,North,Online,Wrong Item,51.88,0.07
RET-2025-000226,2025-10-25,2025-10-03,AURA-SPK-005,North,Online,Changed Mind,54.1,0.07
RET-2025-000227,2025-10-12,2025-10-03,AURA-ACC-001,North,Retail,Other,33.95,0.07
RET-2025-000228,2025-10-12,2025-10-03,AURA-ACC-001,North,Retail,Defective,30.8,0.07
RET-2025-000229,2025-10-22,2025-10-03,AURA-SPK-003,North,Retail,Wrong Item,164.43,0.07
RET-2025-000230,2025-10-18,2025-10-03,AURA-SPK-003,North,Retail,Other,156.95,0.07
RET-2025-000231,2025-10-23,2025-10-03,AURA-SPK-003,North,Retail,Other,160.36,0.07
RET-2025-000232,2025-10-09,2025-10-03,AURA-CBL-004,North,Retail,Defective,6.73,0.07
RET-2025-000233,2025-10-21,2025-10-03,AURA-CBL-006,North,Retail,Changed Mind,14.41,0.07
RET-2025-000234,2025-10-22,2025-10-03,AURA-CBL-007,North,Retail,Changed Mind,38.15,0.07
RET-2025-000235,2025-10-14,2025-10-03,AURA-HP-002,North,Partner,Wrong Item,79.4,0.07
RET-2025-000236,2025-10-10,2025-10-03,AURA-HP-002,North,Partner,Other,74.4,0.07
RET-2025-000237,2025-10-20,2025-10-03,AURA-HP-002,North,Partner,Other,79.65,0.07
RET-2025-000238,2025-10-17,2025-10-03,AURA-SPK-001,North,Partner,Wrong Item,84.99,0.07
RET-2025-000239,2025-10-16,2025-10-03,AURA-SPK-001,North,Partner,Defective,81.05,0.07
RET-2025-000240,2025-10-09,2025-10-03,AURA-CBL-001,North,Partner,Other,12.3,0.07
RET-2025-000241,2025-10-06,2025-10-03,AURA-CBL-001,North,Partner,Wrong Item,12.39,0.07
RET-2025-000242,2025-10-24,2025-10-03,AURA-HP-003,North,Partner,Changed Mind,179.49,0.07
RET-2025-000243,2025-10-07,2025-10-03,AURA-CBL-005,North,Partner,Other,9.46,0.07
RET-2025-000244,2025-10-21,2025-10-03,AURA-CBL-007,North,Partner,Changed Mind,36.94,0.07
RET-2025-000245,2025-10-28,2025-10-03,AURA-CBL-007,North,Partner,Wrong Item,37.16,0.07
RET-2025-000246,2025-10-27,2025-10-03,AURA-ACC-010,North,Partner,Wrong Item,54.81,0.07
RET-2025-000247,2025-10-09,2025-10-03,AURA-HP-007,North,Partner,Changed Mind,88.6,0.07
RET-2025-000248,2025-10-24,2025-10-03,AURA-CBL-001,South,Online,Other,12.79,0.07
RET-2025-000249,2025-10-22,2025-10-03,AURA-CBL-001,South,Online,Other,13.57,0.07
RET-2025-000250,2025-10-13,2025-10-03,AURA-HP-003,South,Online,Defective,173.14,0.07
RET-2025-000251,2025-10-22,2025-10-03,AURA-CBL-002,South,Online,Other,8.79,0.07
RET-2025-000252,2025-10-25,2025-10-03,AURA-CBL-003,South,Online,Wrong Item,14.04,0.07
RET-2025-000253,2025-10-25,2025-10-03,AURA-ACC-006,South,Online,Wrong Item,6.33,0.07
RET-2025-000254,2025-10-21,2025-10-03,AURA-ACC-006,South,Online,Changed Mind,6.3,0.07
RET-2025-000255,2025-10-18,2025-10-03,AURA-ACC-001,South,Retail,Wrong Item,35.19,0.07
RET-2025-000256,2025-10-06,2025-10-03,AURA-ACC-003,South,Retail,Other,24.17,0.07
RET-2025-000257,2025-10-23,2025-10-03,AURA-ACC-005,South,Retail,Changed Mind,8.53,0.07
RET-2025-000258,2025-10-12,2025-10-03,AURA-ACC-008,South,Retail,Other,11.32,0.07
RET-2025-000259,2025-10-28,2025-10-03,AURA-HP-005,South,Retail,Changed Mind,59.62,0.07
RET-2025-000260,2025-10-06,2025-10-03,AURA-ACC-009,South,Retail,Other,38.66,0.07
RET-2025-000261,2025-10-15,2025-10-03,AURA-ACC-009,South,Retail,Changed Mind,37.7,0.07
RET-2025-000262,2025-10-12,2025-10-03,AURA-ACC-010,South,Retail,Changed Mind,51.68,0.07
RET-2025-000263,2025-10-14,2025-10-03,AURA-CBL-001,South,Partner,Wrong Item,10.9,0.07
RET-2025-000264,2025-10-12,2025-10-03,AURA-ACC-001,South,Partner,Wrong Item,32.26,0.07
RET-2025-000265,2025-10-17,2025-10-03,AURA-CBL-002,South,Partner,Wrong Item,8.57,0.07
RET-2025-000266,2025-10-13,2025-10-03,AURA-CBL-005,South,Partner,Wrong Item,9.75,0.07
